anio,mes,valor_real,valor_aprox,error_absoluto,error_relativo
2022,Enero,822.05,820.0,2.05,0.2494
2022,Febrero,807.07,810.0,2.93,0.363
2022,Marzo,799.19,800.0,0.81,0.1014
2022,Abril,815.12,820.0,4.88,0.5987
2022,Mayo,849.39,850.0,0.61,0.0718
2022,Junio,857.77,860.0,2.23,0.26
2022,Julio,953.71,950.0,3.71,0.389
2022,Agosto,904.35,900.0,4.35,0.481
2022,Septiembre,921.01,920.0,1.01,0.1097
2022,Octubre,955.89,960.0,4.11,0.43
2022,Noviembre,917.05,920.0,2.95,0.3217
2022,Diciembre,875.66,880.0,4.34,0.4956
2023,Enero,826.34,830.0,3.66,0.4429
2023,Febrero,798.26,800.0,1.74,0.218
2023,Marzo,809.5,810.0,0.5,0.0618
2023,Abril,803.84,800.0,3.84,0.4777
2023,Mayo,798.64,800.0,1.36,0.1703
2023,Junio,799.87,800.0,0.13,0.0163
2023,Julio,813.4,810.0,3.4,0.418
2023,Agosto,855.66,860.0,4.34,0.5072
2023,Septiembre,884.4,880.0,4.4,0.4975
2023,Octubre,926.35,930.0,3.65,0.394
2023,Noviembre,886.61,890.0,3.39,0.3824
2023,Diciembre,874.67,870.0,4.67,0.5339
2024,Enero,907.99,910.0,2.01,0.2214
2024,Febrero,963.44,960.0,3.44,0.3571
2024,Marzo,967.93,970.0,2.07,0.2139
2024,Abril,960.14,960.0,0.14,0.0146
2024,Mayo,917.88,920.0,2.12,0.231
2024,Junio,926.08,930.0,3.92,0.4233
2024,Julio,937.56,940.0,2.44,0.2603
2024,Agosto,929.9,930.0,0.1,0.0108
2024,Septiembre,926.21,930.0,3.79,0.4092
2024,Octubre,933.81,930.0,3.81,0.408
2024,Noviembre,971.6,970.0,1.6,0.1647
2024,Diciembre,982.3,980.0,2.3,0.2341
2025,Enero,1000.76,1000.0,0.76,0.0759
2025,Febrero,956.62,960.0,3.38,0.3533
2025,Marzo,932.55,930.0,2.55,0.2734
2025,Abril,961.96,960.0,1.96,0.2038
2025,Mayo,941.01,940.0,1.01,0.1073
2025,Junio,938.04,940.0,1.96,0.2089
2025,Julio,951.55,950.0,1.55,0.1629
2025,Agosto,966.3,970.0,3.7,0.3829
2025,Septiembre,960.37,960.0,0.37,0.0385
2025,Octubre,953.97,950.0,3.97,0.4162
2025,Noviembre,935.7,940.0,4.3,0.4595
2025,Diciembre,916.16,920.0,3.84,0.4191
